8	8	1	1
4	4	1	2
1	1	1	5
1	1	1	13
10	9	1	8
5	5	1	9
5	5	1	10
5	5	1	11
1	1	1	12
1	1	1	14
4	4	1	21
4	4	1	17
6	6	1	18
4	4	1	22
4	4	1	23
4	4	1	24
4	4	1	25
2	2	1	26
2	2	1	27
4	4	1	33
4	4	1	34
6	6	1	35
1	1	1	36
6	6	1	37
5	5	1	38
6	6	1	39
8	8	1	45
4	4	1	41
2	2	1	42
6	6	1	43
1	1	1	44
5	5	1	46
7	3	1	47
18	11	1	48
18	11	1	49
4	4	1	50
4	4	1	51
4	4	1	52
4	4	1	53
4	4	1	54
4	4	1	55
4	4	1	56
4	4	1	57
4	4	1	58
4	4	1	59
4	4	1	60
4	4	1	61
4	4	1	62
4	4	1	63
4	4	1	64
4	4	1	65
4	4	1	66
4	4	1	67
4	4	1	68
3	3	1	69
3	3	1	70
6	6	1	71
8	5	1	72
6	6	1	73
5	5	1	74
3	3	1	75
3	3	1	76
3	3	1	77
3	3	1	78
3	3	1	80
3	3	1	81
3	3	1	82
8	8	1	83
1	1	1	84
1	1	1	85
1	1	1	86
1	1	1	87
8	5	1	97
5	5	1	89
5	5	1	90
8	8	1	98
5	5	1	99
5	5	1	100
10	10	1	117
5	5	1	104
4	4	1	105
10	10	1	118
5	5	1	119
150	7	1	120
200	8	1	121
10	10	1	122
4	4	1	123
5	5	1	127
10	6	1	125
10	10	1	126
3	3	1	130
50	7	1	131
70	10	1	132
5	5	1	133
5	4	1	134
5	5	1	135
5	4	1	158
5	4	1	137
5	5	1	138
5	5	1	139
5	5	1	140
5	5	1	159
5	5	1	142
5	5	1	143
5	5	1	144
5	5	1	145
5	5	1	146
5	5	1	147
5	5	1	148
5	5	1	149
5	5	1	150
5	4	1	151
5	5	1	152
5	5	1	153
5	4	1	154
5	5	1	155
5	5	1	156
5	5	1	157
5	5	1	160
5	5	1	161
5	5	1	162
5	5	1	163
5	5	1	164
5	5	1	165
5	5	1	166
5	5	1	167
5	5	1	168
5	5	1	169
5	5	1	170
10	10	1	183
5	5	1	172
5	5	1	173
5	5	1	174
5	5	1	175
10	5	1	184
5	5	1	177
5	5	1	178
5	5	1	179
5	5	1	180
5	5	1	181
10	10	1	182
10	10	1	185
8	8	1	187
18	11	1	188
8	8	1	189
10	10	1	199
10	6	1	191
50	6	1	192
500	11	1	194
10	8	1	195
10	9	1	196
10	9	1	197
4	4	1	198
5	5	1	200
5	3	1	201
5	5	1	202
5	5	1	203
5	5	1	204
5	5	1	205
5	5	1	206
5	3	1	207
5	5	1	208
5	5	1	209
5	5	1	210
5	4	1	211
40	3	1	212
5	5	1	217
5	5	1	218
5	5	1	219
10	9	1	220
10	10	1	221
10	8	1	222
4	4	1	223
5	5	1	224
5	5	1	225
8	8	1	229
3	3	1	230
10	9	1	232
5	5	1	233
5	5	1	234
5	5	1	235
2	2	1	236
4	4	1	237
5	5	1	238
2	2	1	245
5	5	1	240
10	8	1	241
5	5	1	249
4	4	1	248
5	5	1	257
10	7	1	253
5	5	1	258
500	9	1	259
5	5	1	256
7	7	1	268
3	3	1	264
5	5	1	270
5	5	1	266
5	5	1	267
